Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,74.970001,76.419998,74.269997,75.959999,71.295555,36085500
2022-02-01,76.449997,81.510002,76.269997,80.830002,75.866508,61033100
2022-02-02,80.059998,80.809998,79.150002,80.620003,75.669411,30299300
2022-02-03,80.089996,80.309998,79.019997,79.680000,74.787125,28529400
2022-02-04,80.870003,82.529999,80.870003,81.410004,76.410896,32197500
2022-02-07,81.139999,83.080002,80.639999,82.389999,77.330711,34949200
2022-02-08,82.269997,82.500000,79.919998,80.260002,75.331512,34356300
2022-02-09,79.580002,80.029999,78.709999,79.000000,74.970886,40106100
2022-02-10,78.720001,79.680000,77.790001,78.239998,74.249657,28527700
2022-02-11,78.620003,80.320000,78.230003,80.209999,76.119186,42002100
2022-02-14,79.580002,79.839996,77.050003,78.980003,74.951912,34652800
2022-02-15,76.900002,78.190002,76.419998,77.989998,74.012405,25075100
2022-02-16,78.790001,79.730003,78.040001,78.349998,74.354042,21733800
2022-02-17,78.480003,79.120003,77.949997,78.230003,74.240166,23738800
2022-02-18,77.160004,78.169998,76.889999,77.360001,73.414536,23394800
2022-02-22,79.669998,79.790001,75.309998,76.459999,72.560440,35947800
2022-02-23,76.459999,77.470001,76.129997,76.769997,72.854622,25385000
2022-02-24,79.000000,79.029999,74.029999,75.800003,71.934097,46199900
2022-02-25,76.690002,77.989998,76.260002,77.839996,73.870041,28310300
2022-02-28,76.510002,78.930000,76.199997,78.419998,74.420479,32204600
2022-03-01,78.769997,80.650002,78.330002,79.169998,75.132217,40002300
2022-03-02,80.599998,82.150002,79.820000,80.529999,76.422852,44321400
2022-03-03,79.860001,81.769997,79.629997,81.040001,76.906837,30196600
2022-03-04,81.050003,84.279999,80.660004,84.089996,79.801285,42802200
2022-03-07,84.919998,87.230003,83.900002,87.120003,82.676765,55207900
2022-03-08,89.050003,91.510002,85.430000,87.779999,83.303101,72082300
2022-03-09,84.029999,86.570000,81.599998,82.790001,78.567604,65466700
2022-03-10,84.010002,85.680000,82.900002,85.360001,81.006523,44644200
2022-03-11,84.070000,86.230003,83.970001,84.919998,80.588959,35303400
2022-03-14,83.059998,83.449997,80.500000,81.879997,77.704002,37462600
2022-03-15,78.820000,79.169998,76.370003,77.220001,73.281670,47957900
2022-03-16,77.809998,78.620003,76.250000,76.930000,73.006470,37812300
2022-03-17,78.180000,79.150002,77.070000,78.980003,74.951912,34041900
2022-03-18,79.059998,79.389999,78.099998,78.669998,74.657722,41461500
2022-03-21,80.120003,82.519997,79.739998,82.199997,78.007675,33089300
2022-03-22,81.629997,82.199997,80.790001,81.839996,77.666046,23132200
2022-03-23,83.339996,84.269997,83.050003,83.129997,78.890259,27716300
2022-03-24,83.459999,84.650002,82.750000,83.379997,79.127502,19871600
2022-03-25,82.919998,85.489998,82.790001,85.199997,80.854683,22398300
2022-03-28,83.169998,83.309998,82.019997,82.809998,78.586571,21552400
2022-03-29,80.809998,82.489998,79.760002,82.370003,78.169022,27036300
2022-03-30,83.059998,84.010002,82.709999,83.779999,79.507095,22079000
2022-03-31,82.870003,84.400002,82.550003,82.589996,78.377792,27861500
2022-04-01,81.989998,84.139999,81.989998,83.120003,78.880768,18671100
2022-04-04,83.559998,83.660004,82.050003,83.160004,78.918724,20869400
2022-04-05,83.500000,85.070000,82.559998,82.730003,78.510658,21753100
2022-04-06,83.419998,84.699997,82.940002,83.650002,79.383728,24768200
2022-04-07,83.830002,85.440002,82.709999,85.050003,80.712334,26122000
2022-04-08,85.169998,87.209999,85.169998,86.839996,82.411034,24866500
2022-04-11,85.779999,85.930000,83.500000,83.849998,79.573540,21800100
2022-04-12,85.709999,86.820000,85.379997,85.599998,81.234276,22444200
2022-04-13,86.610001,87.110001,85.190002,86.809998,82.382568,19306800
2022-04-14,86.669998,88.459999,86.230003,87.830002,83.350540,24566400
2022-04-18,88.500000,88.889999,87.750000,88.550003,84.033829,19032300
2022-04-19,88.010002,88.660004,87.269997,87.760002,83.284119,20382600
2022-04-20,87.970001,88.500000,87.300003,87.959999,83.473907,20689400
2022-04-21,88.949997,89.800003,86.790001,87.029999,82.591331,29010900
2022-04-22,86.660004,88.120003,85.000000,85.129997,80.788254,23591600
2022-04-25,82.370003,82.660004,79.290001,82.260002,78.064629,37698300
2022-04-26,82.730003,84.720001,82.180000,82.290001,78.093094,28941500
2022-04-27,83.389999,85.480003,82.279999,84.639999,80.323250,32773000
2022-04-28,84.879997,88.139999,84.070000,87.199997,82.752678,33683800
2022-04-29,88.139999,88.139999,84.699997,85.250000,80.902130,34656500
2022-05-02,85.010002,87.040001,84.629997,86.410004,82.002975,36335200
2022-05-03,86.260002,88.779999,86.120003,88.190002,83.692184,33908100
